Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Blue Oak,2022,G1,1,2,73,NA,BO_143,BO_152,1,0,0,0,NA,0,0,NA,NA,NA,NA,3/25/22,4/13/22,19
Blue Oak,2022,G1,1,2,74,NA,BO_170,BO_055,7,9,27,2,8.63,0.222222222,6,NA,NA,NA,38.016,3/25/22,5/5/22,41
Blue Oak,2022,G1,1,2,75,NA,BO_109,BO_095,8,0,0,0,NA,0,0,NA,NA,NA,95.638,4/8/22,4/8/22,0
Blue Oak,2022,G1,1,2,76,NA,BO_088,BO_050,7,1,6,3,5.74,3,18,21.38,24.422,304.259,NA,3/25/22,4/13/22,19
Blue Oak,2022,G1,1,2,77,NA,BO_130,BO_174,2,0,2,0,NA,0,0,24.6,27.985,390.247,47.298,3/25/22,4/8/22,14
Blue Oak,2022,G1,1,3,79,NA,BO_069,BO_201,7,1,2,0,NA,0,0,12.91,NA,NA,NA,4/28/22,5/12/22,14
Blue Oak,2022,G1,1,3,88,NA,BO_189,BO_126,3,2,3,1,4.86,0.5,1.5,24.22,NA,NA,27.911,4/8/22,5/20/22,42
Blue Oak,2022,G1,1,3,89,NA,BO_199,BO_069,1,6,6,6,3.711666667,1,6,13.14,NA,NA,24.729,4/21/22,4/28/22,7
Blue Oak,2022,G1,1,3,90,NA,BO_058,BO_123,2,0,0,0,NA,0,0,NA,NA,NA,13.708,4/1/22,5/12/22,41
Blue Oak,2022,G1,1,3,91,NA,BO_187,BO_150,4,1,1,0,NA,0,0,NA,25.835,316.749,55.099,4/8/22,5/12/22,34
Blue Oak,2022,G1,1,3,93,NA,BO_198,BO_158,1,1,1,0,NA,0,0,23.16,NA,NA,NA,4/8/22,4/13/22,5
Blue Oak,2022,G1,1,3,94,NA,BO_109,BO_001,5,1,2,0,NA,0,0,NA,NA,NA,84.915,4/8/22,4/13/22,5
Blue Oak,2022,G1,1,3,95,NA,BO_198,BO_100,8,0,0,0,NA,0,0,8.88,26.673,339.755,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,1,3,96,NA,BO_022,BO_146,7,3,8,6,6.471666667,2,16,NA,28.397,487.661,NA,3/25/22,5/5/22,41
Blue Oak,2022,G1,1,3,97,NA,BO_088,BO_169,6,3,13,3,3.423333333,1,13,NA,26.003,379.727,NA,4/1/22,5/5/22,34
Blue Oak,2022,G1,1,3,98,NA,BO_183,BO_116,6,2,5,0,NA,0,0,NA,26.025,361.727,18.232,4/21/22,5/5/22,14
Blue Oak,2022,G1,1,3,99,NA,BO_040,BO_171,3,1,1,0,NA,0,0,NA,24.193,335.328,26.422,4/8/22,5/12/22,34
Blue Oak,2022,G1,1,3,100,NA,BO_001,BO_025,5,0,0,0,NA,0,0,NA,24.583,350.973,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,1,3,101,NA,BO_096,BO_134,5,0,0,0,NA,0,0,NA,26.441,414.396,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,1,3,103,NA,BO_069,BO_145,4,1,1,6,2.731666667,6,6,NA,24.299,400.187,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,1,3,104,NA,BO_189,BO_142,6,0,0,0,NA,0,0,NA,28.515,443.912,39.433,4/8/22,4/28/22,20
Blue Oak,2022,G1,1,3,105,NA,BO_088,BO_140,1,0,0,0,NA,0,0,91.63,27.002,453.396,NA,3/25/22,4/21/22,27
Blue Oak,2022,G1,1,3,106,NA,BO_001,BO_151,6,0,0,0,NA,0,0,NA,23.687,322.403,NA,4/21/22,4/21/22,0
Blue Oak,2022,G1,1,3,107,NA,BO_109,BO_028,1,0,0,0,NA,0,0,NA,NA,NA,NA,4/8/22,5/12/22,34
Blue Oak,2022,G1,1,3,109,NA,BO_173,BO_054,1,0,0,0,NA,0,0,NA,32.627,652.307,NA,3/25/22,4/28/22,34
Blue Oak,2022,G1,1,3,110,NA,BO_032,BO_088,5,3,13,6,6.415,2,26,NA,20.904,NA,NA,3/25/22,5/12/22,48
Blue Oak,2022,G1,1,4,111,NA,BO_065,BO_014,2,1,1,0,NA,0,0,NA,20.529,228.34,NA,4/8/22,5/20/22,42
Blue Oak,2022,G1,1,4,116,NA,BO_022,BO_020,8,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Blue Oak,2022,G1,1,4,117,NA,BO_029,BO_090,8,2,2,0,NA,0,0,NA,26.411,360.691,NA,4/8/22,4/21/22,13
Blue Oak,2022,G1,1,4,118,NA,BO_070,BO_046,3,0,0,0,NA,0,0,NA,NA,NA,NA,5/20/22,5/20/22,0
Blue Oak,2022,G1,1,4,119,NA,BO_199,BO_015,2,0,1,0,NA,0,0,10.84,16.405,159.168,NA,4/8/22,5/20/22,42
Blue Oak,2022,G1,1,4,120,NA,BO_143,BO_195,3,0,0,0,NA,0,0,NA,NA,NA,NA,4/8/22,4/21/22,13
Blue Oak,2022,G1,1,4,122,NA,BO_163,BO_144,3,0,0,0,NA,0,0,19.1,NA,NA,NA,4/1/22,4/8/22,7
Blue Oak,2022,G1,1,4,124,NA,BO_106,BO_131,3,0,0,0,NA,0,0,NA,21.49,255.621,NA,4/8/22,5/5/22,27
Blue Oak,2022,G1,1,4,127,NA,BO_177,BO_147,3,0,0,0,NA,0,0,NA,22.709,298.855,NA,3/25/22,4/13/22,19
Blue Oak,2022,G1,1,4,128,NA,BO_151,BO_167,7,1,2,2,3.31,2,4,9.18,22.231,276.524,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,1,4,130,NA,BO_130,BO_161,6,0,0,0,NA,0,0,NA,34.466,612.226,NA,3/25/22,4/21/22,27
Blue Oak,2022,G1,1,4,132,NA,BO_070,BO_184,7,0,1,0,NA,0,0,NA,30.512,523.66,NA,4/1/22,4/21/22,20
Blue Oak,2022,G1,2,5,133,NA,BO_040,BO_171,1,0,1,0,NA,0,0,58.16,27.952,432.992,37.171,4/1/22,4/13/22,12
Blue Oak,2022,G1,2,5,134,NA,BO_177,BO_121,7,2,7,3,0.866666667,1.5,10.5,47.89,NA,NA,NA,4/1/22,5/20/22,49
Blue Oak,2022,G1,2,5,135,NA,BO_128,BO_060,8,0,0,0,NA,0,0,NA,NA,NA,40.405,4/1/22,5/20/22,49
Blue Oak,2022,G1,2,5,136,NA,BO_183,BO_063,8,0,0,0,NA,0,0,11.94,NA,NA,17.268,3/25/22,4/13/22,19
Blue Oak,2022,G1,2,5,137,NA,BO_096,BO_012,2,0,3,0,NA,0,0,48.39,26.315,430.546,13.653,4/1/22,5/20/22,49
Blue Oak,2022,G1,2,5,138,NA,BO_022,BO_020,1,0,7,0,NA,0,0,74.27,30.052,554.075,35.51,3/11/22,5/20/22,70
Blue Oak,2022,G1,2,5,139,NA,BO_153,BO_022,2,0,0,0,NA,0,0,NA,NA,NA,NA,3/25/22,4/8/22,14
Blue Oak,2022,G1,2,5,140,NA,BO_162,BO_108,1,0,0,0,NA,0,0,NA,16.24,146.531,61.168,3/25/22,3/25/22,0
Blue Oak,2022,G1,2,5,141,NA,BO_183,BO_198,8,0,0,0,NA,0,0,NA,29.131,512.695,45.18,4/8/22,5/20/22,42
Blue Oak,2022,G1,2,5,142,NA,BO_065,BO_014,7,2,3,0,NA,0,0,24.19,26.473,433.592,19.408,4/1/22,5/20/22,49
Blue Oak,2022,G1,2,5,143,NA,BO_109,BO_001,4,0,0,0,NA,0,0,11.08,NA,NA,15.644,4/8/22,4/13/22,5
Blue Oak,2022,G1,2,5,144,NA,BO_162,BO_089,7,2,3,4,3.5175,2,6,6.9,NA,NA,NA,3/25/22,4/28/22,34
Blue Oak,2022,G1,2,5,145,NA,BO_109,BO_095,8,0,2,0,NA,0,0,29.9,NA,NA,90.877,3/25/22,5/12/22,48
Blue Oak,2022,G1,2,5,147,NA,BO_038,BO_082,6,0,3,0,NA,0,0,19,23.5,339.263,34.893,4/1/22,5/25/22,54
Blue Oak,2022,G1,2,5,148,NA,BO_170,BO_045,5,1,1,4,2.885,4,4,NA,NA,NA,NA,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,5,149,NA,BO_119,BO_017,6,3,6,6,3.896666667,2,12,23.91,26.21,459.177,49.23,3/25/22,4/8/22,14
Blue Oak,2022,G1,2,5,150,NA,BO_065,BO_115,2,1,4,2,3.175,2,8,7.54,26.77,471.401,74.359,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,5,151,NA,BO_185,BO_071,3,1,1,0,NA,0,0,NA,22.8,292.646,NA,4/8/22,5/20/22,42
Blue Oak,2022,G1,2,5,152,NA,BO_189,BO_086,3,2,20,1,3.16,0.5,10,157.59,23.508,311.209,NA,4/1/22,5/25/22,54
Blue Oak,2022,G1,2,5,153,NA,BO_173,BO_079,4,7,9,3,2.696666667,0.428571429,3.857142857,78.36,NA,NA,25.622,4/13/22,5/25/22,42
Blue Oak,2022,G1,2,5,154,NA,BO_185,BO_085,6,0,0,0,NA,0,0,NA,NA,NA,NA,4/8/22,4/8/22,0
Blue Oak,2022,G1,2,5,156,NA,BO_194,BO_098,5,5,5,15,3.512666667,3,15,NA,25.882,375.503,NA,3/25/22,4/21/22,27
Blue Oak,2022,G1,2,5,158,NA,BO_119,BO_051,1,1,1,0,NA,0,0,33.74,24.282,368.434,NA,3/25/22,4/8/22,14
Blue Oak,2022,G1,2,5,159,NA,BO_038,BO_149,2,3,3,2,4.81,0.666666667,2,NA,NA,NA,30.897,4/1/22,5/20/22,49
Blue Oak,2022,G1,2,5,161,NA,BO_109,BO_028,5,0,0,0,NA,0,0,NA,NA,NA,NA,4/1/22,4/1/22,0
