Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BO_125-G1-004-19L-3,4,19L,BO_125,3,G1,116,BO_194,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-05-05,NA,1,1,1,2,1,2,4.4,14.85,2023-05-05,NA,NA,NA,-31.09,942.79,3.04
BO_125-G1-009-15R-1,9,15R,BO_125,1,G1,264,BO_194,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,1.76,0,1,0,1,0,0,NA,23.075,2023-04-21,NA,NA,NA,NA,NA,NA
BO_125-G2-0010-15R-5,10,15R,BO_125,5,G2,294,BO_194,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,5,0,1,0,1,0,0,NA,NA,NA,43.83,2.87,15.271777003484319,NA,NA,NA
BO_125-G2-005-34L-2,5,34L,BO_125,2,G2,158,BO_194,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,1,0,4,1,4,4,3.635,23.636,2023-05-05,NA,NA,NA,NA,NA,NA
BO_125-G2-009-18R-1,9,18R,BO_125,1,G2,267,BO_194,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,1,3,6,4,6,24,0,NA,NA,20.373,1.32,15.434090909090909,-28.84,929.73,2.97
BO_126-G1-005-2L-5,5,2L,BO_126,5,G1,126,BO_189,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,2023-05-05,NA,3,2,13,5,4.333333333,21.66666667,2.31625,22.815,2023-05-05,NA,NA,NA,-29.68,883.16,3.18
BO_126-G2-007-13L-3,7,13L,BO_126,3,G2,211,BO_189,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,12.81,3,0,11,3,3.666666667,11,2.371818182,18.939,2023-05-05,NA,NA,NA,-29.79,1095.87,3.42
BO_127-G1-009-10L-4,9,10L,BO_127,4,G1,259,BO_192,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,6.72,1,1,0,2,0,0,NA,26.256,2023-04-21,23.042,1.51,15.259602649006624,-28.98,1067.78,3.21
BO_127-G1-009-12R-5,9,12R,BO_127,5,G1,261,BO_192,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,0,1,0,1,0,0,NA,NA,NA,39.575,3.33,11.884384384384385,NA,NA,NA
BO_130-G1-009-16R-3,9,16R,BO_130,3,G1,265,BO_201,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,NA,1,2,2,3,2,6,3.78,27.222,2023-04-21,41.198,2.13,19.341784037558686,NA,NA,NA
BO_130-G2-006-14R-4,6,14R,BO_130,4,G2,182,BO_201,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,2023-05-17,NA,2,0,2,2,1,2,4.765,21.681,2023-05-17,27.449,2.84,9.665140845070423,NA,NA,NA
BO_131-G1-006-5L-3,6,5L,BO_131,3,G1,173,BO_106,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-30.26,258.28,0.92
BO_134-G1-009-5R-1,9,5R,BO_134,1,G1,254,BO_096,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,3.18,0,1,0,1,0,0,NA,23.384,2023-04-21,15.203,1.43,10.631468531468531,-27,456.51,1.48
